i,j,acf_peak_lag_samples,acf_peak_period_days,acf_peak_value,psd_peak_freq_cyc_per_day,psd_peak_period_days,psd_peak_power
124,309,1,0.125,0.9771211142585534,0.0027397260273972603,365.0,159.93019170217778
85,514,1,0.125,0.9776728562485735,0.008219178082191782,121.66666666666666,215.2879754969223
82,118,1,0.125,0.9772973361160022,0.008219178082191782,121.66666666666666,181.2006382919052
165,22,1,0.125,0.9745439046788874,0.0027397260273972603,365.0,140.1809215609069
152,21,1,0.125,0.9738601956955122,0.0027397260273972603,365.0,138.981317890271
84,85,1,0.125,0.9771521876880408,0.008219178082191782,121.66666666666666,181.17124914732113
192,226,1,0.125,0.9864129387117678,0.0027397260273972603,365.0,136.53035009641738
97,730,1,0.125,0.9783847743704971,0.008219178082191782,121.66666666666666,238.93434164513974
135,621,1,0.125,0.9789360669782164,0.0027397260273972603,365.0,153.7732961968213
61,296,1,0.125,0.9807983281880002,0.0027397260273972603,365.0,131.77745066865643
95,277,1,0.125,0.9766037016951452,0.008219178082191782,121.66666666666666,167.30897126563687
128,551,1,0.125,0.9782177950420509,0.0027397260273972603,365.0,154.52278661204002
63,388,1,0.125,0.9811241996597694,0.0027397260273972603,365.0,151.94967392189656
27,185,1,0.125,0.9968164021890327,0.0027397260273972603,365.0,1366.89434386134
81,578,1,0.125,0.979327802756435,0.008219178082191782,121.66666666666666,228.77682399448807
59,31,1,0.125,0.9807438417456995,0.008219178082191782,121.66666666666666,158.0120249960271
42,571,1,0.125,0.9904059338280267,0.0027397260273972603,365.0,293.2223144747945
150,556,1,0.125,0.979642445709296,0.0027397260273972603,365.0,141.92505965740617
109,604,1,0.125,0.9772133667712659,0.008219178082191782,121.66666666666666,196.07304992709274
79,326,1,0.125,0.9783571816323761,0.008219178082191782,121.66666666666666,186.87862226471805
96,516,1,0.125,0.976384818736642,0.008219178082191782,121.66666666666666,205.17362187675766
25,66,1,0.125,0.9970113878728871,0.0027397260273972603,365.0,1543.1193210067113
4,543,1,0.125,0.995301387010868,0.0027397260273972603,365.0,2097.8973334394295
31,55,1,0.125,0.9958932448257698,0.0027397260273972603,365.0,1101.5801219014309
190,158,1,0.125,0.9855754124241723,0.0027397260273972603,365.0,147.1495545493956
12,687,1,0.125,0.9975855177414,0.0027397260273972603,365.0,1935.9060833636067
139,242,1,0.125,0.9759715017059868,0.0027397260273972603,365.0,150.36809221713986
70,189,1,0.125,0.9787254056886213,0.008219178082191782,121.66666666666666,166.44024695571926
124,174,1,0.125,0.9757851839071915,0.0027397260273972603,365.0,153.20866661812497
8,729,1,0.125,0.9972010510236151,0.0027397260273972603,365.0,1996.4405512053
134,72,1,0.125,0.9754775582902816,0.0027397260273972603,365.0,143.92662988071248
197,140,1,0.125,0.9846811628298625,0.0027397260273972603,365.0,166.89868411984318
90,183,1,0.125,0.9765155831555888,0.008219178082191782,121.66666666666666,168.47789905261592
35,752,1,0.125,0.9953142459331941,0.0027397260273972603,365.0,646.274788528844
155,486,1,0.125,0.978866146493136,0.0027397260273972603,365.0,131.13351265713356
43,48,1,0.125,0.9886967268693322,0.0027397260273972603,365.0,357.01246036637014
52,761,1,0.125,0.9867917285880898,0.0027397260273972603,365.0,202.7490120243817
172,660,1,0.125,0.9816373368977614,0.0,inf,125.1727873721406
134,468,1,0.125,0.9783199511865628,0.0027397260273972603,365.0,155.5053836303403
93,741,1,0.125,0.9786640431514887,0.008219178082191782,121.66666666666666,244.13562224825316
66,49,1,0.125,0.9792162419985244,0.008219178082191782,121.66666666666666,175.4967509678964
128,395,1,0.125,0.9778440675833496,0.0027397260273972603,365.0,160.26199691045835
121,270,1,0.125,0.9758423018495419,0.0027397260273972603,365.0,159.9377719265514
10,720,1,0.125,0.9974827320107786,0.0027397260273972603,365.0,1963.8786864159135
193,470,1,0.125,0.9851680532276449,0.0,inf,104.91827801310887
22,401,1,0.125,0.9973110664377924,0.0027397260273972603,365.0,1705.9336570181322
26,661,1,0.125,0.9973954837329545,0.0027397260273972603,365.0,1355.4295820973089
160,557,1,0.125,0.97974605001766,0.0027397260273972603,365.0,130.30699007674298
166,300,1,0.125,0.977576857332887,0.0027397260273972603,365.0,118.38898469391448
119,552,1,0.125,0.9772759201288207,0.008219178082191782,121.66666666666666,156.92410750666482
143,573,1,0.125,0.9799501399060601,0.0027397260273972603,365.0,149.31935594204282
195,180,1,0.125,0.9846780396225643,0.0027397260273972603,365.0,153.69585622048368
130,286,1,0.125,0.97652945436284,0.0027397260273972603,365.0,157.59521153418206
88,614,1,0.125,0.9777859688439631,0.008219178082191782,121.66666666666666,233.28780338412292
158,260,1,0.125,0.974588079273649,0.0027397260273972603,365.0,129.49403869944894
13,332,1,0.125,0.9973684034628068,0.0027397260273972603,365.0,2002.3520190971215
89,340,1,0.125,0.9759648466334143,0.008219178082191782,121.66666666666666,184.10815690213082
49,45,1,0.125,0.9831563594974343,0.0027397260273972603,365.0,222.87899510230588
65,13,1,0.125,0.9791028321083095,0.008219178082191782,121.66666666666666,179.52444399864396
68,389,1,0.125,0.980486204601938,0.0027397260273972603,365.0,162.34626240001012
192,255,1,0.125,0.9861140353032615,0.0027397260273972603,365.0,130.0445599951305
10,365,1,0.125,0.9972770076833511,0.0027397260273972603,365.0,2038.7861753897473
73,526,1,0.125,0.9802650162281168,0.008219178082191782,121.66666666666666,196.93976266884366
92,608,1,0.125,0.9774995163783107,0.008219178082191782,121.66666666666666,228.14102802258515
97,705,1,0.125,0.9779776025245925,0.008219178082191782,121.66666666666666,236.66115886306434
33,154,1,0.125,0.9954423694411797,0.0027397260273972603,365.0,890.1597693375215
87,69,1,0.125,0.9778305147894797,0.008219178082191782,121.66666666666666,176.98481566881762
157,560,1,0.125,0.9797862722341321,0.0027397260273972603,365.0,134.6060888292683
21,631,1,0.125,0.9975898419654811,0.0027397260273972603,365.0,1734.8221172701667
187,237,1,0.125,0.9855179624110416,0.0027397260273972603,365.0,126.01923774074132
198,109,1,0.125,0.9837565792528058,0.0027397260273972603,365.0,176.33690362365527
110,381,1,0.125,0.9769277349273296,0.0027397260273972603,365.0,160.34716914952477
173,678,1,0.125,0.9818778354880078,0.0,inf,125.12046959987927
120,0,1,0.125,0.9772936848530979,0.0027397260273972603,365.0,136.73655045896277
